abstract,title,year
"An electric vehicle is controlled to conform its operation to that of a conventional internal-combustion-engine powered vehicle. In some embodiments, the charging of the batteries by the auxiliary source of electricity and from dynamic braking is ramped in magnitude when the batteries lie in a state of charge between partial charge and full charge, with the magnitude of the charging being related to the relative state of charge of the battery. The deficiency between traction motor demand and the energy available from the auxiliary electrical source is provided from the batteries in an amount which depends upon the state of the batteries, so that the full amount of the deficiency is provided when the batteries are near full charge, and little or no energy is provided by the batteries when they are near a discharged condition. At charge states of the batteries between near-full-charge and near-full-discharge, the batteries supply an amount of energy which depends monotonically upon the charge state. Charging of the batteries from the auxiliary source is reduced during dynamic braking when the batteries are near full charge. Control of the amount of energy returned during dynamic braking may be performed by control of the transducing efficiency of the traction motor operated as a generator.",Electric vehicle with variable efficiency regenerative braking depending upon battery charge state,1999
"An evaporative cooling membrane device is disclosed having a flat or pleated plate housing with an enclosed bottom and an exposed top that is covered with at least one sheet of hydrophobic porous material having a thin thickness so as to serve as a membrane. The hydrophobic porous material has pores with predetermined dimensions so as to resist any fluid in its liquid state from passing therethrough but to allow passage of the fluid in its vapor state, thereby, causing the evaporation of the fluid and the cooling of the remaining fluid. The fluid has a predetermined flow rate. The evaporative cooling membrane device has a channel which is sized in cooperation with the predetermined flow rate of the fluid so as to produce laminar flow therein. The evaporative cooling membrane device provides for the convenient control of the evaporation rates of the circulating fluid by adjusting the flow rates of the laminar flowing fluid.",Evaporative cooling membrane device,1999
"A modular spacecraft and fabrication method for producing a spacecraft of the kind that forms an enclosure and framework for installation of the external and internal subsystems of the spacecraft. The primary structure of the spacecraft is formed as a split shell enclosure including composite formed upper and lower shell portions. The spacecraft, with the shells open, provides an extremely high degree of access during the assembly, installation and test of the spacecraft. A self-aligning tapered joint is formed at respective contacting lip surfaces of at least one set of common end walls of the upper and lower shell portions. Heat pipes are formed integral within the composite structure of selected walls of the shell portion to provide thermal regulation to the spacecraft and the subsystems contained therein. Removable battery modules are incorporated into the end wall structure of the upper shell portion. Also disclosed is an arrangement for distributing the subsystem electronics over the shell of the spacecraft in a manner that maximizes power, thermal and weight efficiencies. The distributed electronics arrangement includes a number of standardized plug-in interface cards which contain the various subsystem electronics and a common backplane for receiving the interface cards. The common backplane is mounted directly to the composite shell structure and is preferably located over one or more heat pipes for thermal dissipation.",Split shell spacecraft,1999
"A separation system for separating a first section from a second section is disclosed. In one embodiment, the separation system includes first and second doublers for initially interconnecting the first and second sections, an expandable explosive system contained in a cavity defined by the first and second doublers and first and second sections, first and second grooves positioned on the first and second doublers, the first and second doublers severable along break planes defined by the first and second grooves, and bend augmenters associated with at least one of the first and second doublers to facilitate hinging of the doubler upon firing of the explosive, which thereby reduces separation shock.",Separation system,1999
"A separation system for separating a first section from a second section is disclosed. In one embodiment, the separation system includes first and second doublers for initially interconnecting the first and second sections, an expandable explosive system contained in a cavity defined by the first and second doublers and first and second sections, and a slide plane including first and second slide members, the first and second slide members slidably engagable with each other for at least initially guiding the first section away from and relative to the second section upon severance of the first and second doublers.",Separation system,1999
"A three-axis stabilized spacecraft is subject to a velocity change in a desired direction by a thruster. Unavoidable alignment errors cause a body torque, which tends to slew the body away from the attitude which orients the thrust axis in the direction. The attitude control system eventually corrects the attitude, but the thrust during the attitude transient results in an error in the direction of the velocity change. This error in the direction accumulates during the attitude transient. When the attitude transient passes, no further pointing error occurs. A control system, operating without an accelerometer, determines the total error accumulated during the attitude transient, and processes the error signal to generate a supplemental torque demand signal, which is added to the torque demand signal produced by the attitude control system, to cause an oppositely-directed attitude transient to thereby cancel the original velocity change direction error.",Delta-V targeting system for three-axis controlled spacecraft,1999
"A separation system for separating a first section from a second section is disclosed. In one embodiment, the separation system includes first and second doublers for initially interconnecting the first and second sections, an expandable explosive system contained in a cavity defined by the first and second doublers and first and second sections, and first and second staggered grooves positioned on the first and second doublers, the first and second doublers severable along break planes defined by the first and second staggered grooves to facilitate a substantially collision-free separation and ejection of the first section relative to the second section.",Separation system,1999
"A system for removably mounting a thermal insulation blanket to a structure such as a launch vehicle exterior surface, includes a blanket formed of a layer of batting with a substantially rigid frame positioned against one side, and a cover (preferably fabric) surrounding the batting layer. The cover holds the frame in place on the surface of the batting. Preferably, the blanket is quilted. For space launch applications, the batting, cover, and quilting thread are ceramic fiber materials suitable for high temperature use. Fasteners are mounted on the frame and extend outward from the cover. Corresponding mating fasteners are mounted on the structure in an arrangement so as to be positioned to engage with the fasteners extending from the blanket cover. A flat or curved blanket can be provided with a frame material that can be shaped to the desired curve.",Quick installation-removal thermal insulation blanket for space craft,1999
"The invention is an anti-vortex assembly for mounting at the entrance to the outlet port of a propellant tank. In detail, the anti-vortex assembly includes a hollow cylindrical frame assembly having a longitudinal axis, open top and bottom ends, and top and bottom circular shaped support members connected together by equally spaced vertical support members. A baffle assembly is mounted within the frame assembly and which includes a plurality of perforated baffle plates having first and second ends. The first ends of the baffle plates are joined together at the longitudinal axis of the frame assembly and the second ends are joined to the vertical support members of the frame assembly. A first cylindrical shaped filter assembly is mounted about the frame assembly and a second flat disc shaped filter assembly is mounted over the top opening thereof. Fasteners are used to secure the frame member and the first filter assembly to the tank about the periphery of the outlet port.",Anti-vortex baffle assembly with filter for a tank,2000
"An earth sensor assembly for an orbiting spacecraft which includes a two dimensional microbolometer area array detector as the detective source for capturing full or partial infrared (IR) images of the earth. The earth sensor assembly further includes an input optic head assembly for collecting incident radiant power emitted from the earth and for directing it to a focal plane of the microbolometer area array. The microbolometer detector converts the detected radiant power into electric signals. Also included are sensor electronics and data processing means for processing the converted signals and determining the attitude of the spacecraft relative to the earth. Also disclosed is an algorithm for processing the earth image information generated by the microbolometer area array and for determining the three axis attitude (pitch, roll and yaw) of the spacecraft.",Microbolometer earth sensor assembly,2000
"A cooling system (18) for supplying an even distribution of cooling air within a payload chamber (14) of a launch vehicle is disclosed. The cooling system (18) includes an elongate duct (20), a diverter (22), and a plurality of partitions (24a, 24b, 24c . . . ). The diverter (22) is attached to a distal end (21) of the elongate duct (20) by the plurality of partitions (24a, 24b, 24c . . . ). A turning vane (26) integral with two of the plurality of partitions (24a, 24b, 24c . . . ) extends into the elongate duct (20) dividing part of the elongate duct (20) into two separate halves. Cooling air passes through the elongate duct (20) and strikes the diverter (22) which evenly distributes the cooling air within the payload chamber (14) of the launch vehicle.",Payload chamber cooling system,2000
"The disclosed launch systems are formed from mass producible elements that integrate propulsion, pneumatics and structural systems. In one embodiment, a launch system (10) includes multiple stages (12-16) where each stage includes a number of generally wedge-shaped segments (54). Alternating segments (54) form liquid fuel and oxidizer tanks. Each fuel and oxidizer tank pair is associated with a thruster (70). The resulting plurality of thrusters (70) are disposed about a common aerospike thrust structure (30-34). The segments (54) are connected to an internal, hollow structural spine (26) that can also interface with an internal umbilical tower (46). The segments (54) together with their associated thrusters and related components can be mass produced, thereby increasing competition among suppliers, reducing design costs and timeframes.",Mass producible launch system,2000
"An improved hinge assembly is disclosed that is particularly apt for use with deployable trusses utilized on satellites and other spacecraft. In one arrangement, the inventive hinge assembly comprises a tapered roller bearing assembly having tapered rollers angled towards a hinge axis, and a needle roller thrust bearing assembly positioned radially about at least a portion of the tapered roller bearing assembly to yield a compact and lightweight bearing arrangement, while providing satisfactory radial and axial loading bearing characteristics. An axial preload assembly may also be employed with the roller bearing assemblies in the invention to yield enhanced hinge stiffness and repeatability benefits. Such characteristics are of particular importance with deployable spacecraft truss assemblies for supporting instrumentation during orbit. An additional needle roller bearing assembly may be included at an axially spaced position from the tapered roller bearing assembly to provide overload protection (e.g., for ground-based handling and on-orbit acceleration/deceleration), and thereby allowing for a reduction in the size/weight of the primary tapered roller and needle roller thrust bearing assemblies.",Hinge for deployable truss,2000
"An ascent vent cover (24) for covering and sealing vent holes (22) in a payload launch vehicle (21) is disclosed. The ascent vent cover (24) includes a magnetic sheet (32) for covering the vent hole (22) and attaching the ascent vent cover to the payload launch vehicle, a plurality of magnets (34a, 34b, 34c, . . . ) for augmenting the holding strength of the magnetic sheet, and a stiffening panel (38) for facilitating the peeling of the ascent vent cover away from the payload launch vehicle (21). The magnets (34a, 34b, 34c, . . . ) are secured to the magnetic sheet (32) so that some are positioned in a circular pattern so as to surround the underlying vent hole (22) and others are positioned along a leading edge of the magnetic sheet (32). The stiffening panel (38) includes a cover portion (39) and a tab portion (40) for securing to the magnetic sheet (32). The magnets (34a, 34b, 34c, . . . ) are embedded in the cover and tab portions. The tab portion (40) of the stiffening panel (38) is secured to a leading edge of the magnetic sheet (32) and functions primarily to facilitate the deployment of the ascent vent cover when sufficient dynamic pressure or air velocity is applied to the leading surface of the tab portion during the launch of the payload launch vehicle. Preferably, an RF shield (36) is located between the magnetic sheet (32) and the stiffening panel (38).",Aerodynamically actuated magnetic ascent vent cover,2000
"A HAN TEAN mixing gas generator pressurization system is proposed for use on pressure-fed rockets. HAN (hydroxyl ammonium nitrate) and TEAN (triethanol ammonium nitrate) are salts dissolved in water to form a single liquid propellant. Combustion of HAN TEAN results in water, carbon dioxide, and nitrogen at high temperatures and pressures. A cryogenic primary working fluid is mixed the HAN TEAN exhaust products to provide warm high-pressure gas to pressurize the rocket's main propellant tanks.",HAN TEAN (xm-46) mixing gas generator propellant tank pressurizer for launch vehicles and spacecraft,2000
An asymmetric open rosette constellation has multiple inclined orbit planes distributed around 360.degree. with the satellites asymmetrically spaced in the orbit planes. The satellites populate only a portion of each orbital plane so as to leave an open space in each orbital plane. The open architecture can readily accommodate spare satellites in a useful manner.,Asymmetric open rosette constellations,2000
"The device for tensioning sheet material applies a tensioning force around he outer edge of a sheet material to prevent the sheet material from wrinkling. These devices are attached to a supporting member forming the outer frame of a structure upon which the sheet material is to be attached and consist of tape strips or wires attached to or free sliding along the support member, sheet material of a differing material wrapped around the support member and attached to the main sheet material, with or without holes or slots, and extensions of the main sheet material around the support member, with or without heat created depressions along the border to relieve tearing stresses. Another tensioning member is a corner brace between perpendicular segments of the supporting member to remove wrinkles caused by manufacturing irregularities.",Device for tensioning sheet members,2000
"The present invention is directed to a multifunction structure (MFS) in which electrical/electronic componentry, thermal control and structural support are integrated into a monolithic structure that is particularly useful in spacecraft applications. The multifunctional structure is also designed to be modular so that the electrical/electronic componentry can be repaired or replaced.",Modular and multifunctional structure,2000
"The invention is embodied in a method of integrating kinematics equations for updating a set of vehicle attitude angles of a vehicle using 3-dimensional angular velocities of the vehicle, which includes computing an integrating factor matrix from quantities corresponding to the 3-dimensional angular velocities, computing a total integrated angular rate from the quantities corresponding to a 3-dimensional angular velocities, computing a state transition matrix as a sum of (a) a first complementary function of the total integrated angular rate and (b) the integrating factor matrix multiplied by a second complementary function of the total integrated angular rate, and updating the set of vehicle attitude angles using the state transition matrix. Preferably, the method further includes computing a quanternion vector from the quantities corresponding to the 3-dimensional angular velocities, in which case the updating of the set of vehicle attitude angles using the state transition matrix is carried out by (a) updating the quanternion vector by multiplying the quanternion vector by the state transition matrix to produce an updated quanternion vector and (b) computing an updated set of vehicle attitude angles from the updated quanternion vector. The first and second trigonometric functions are complementary, such as a sine and a cosine. The quantities corresponding to the 3-dimensional angular velocities include respective averages of the 3-dimensional angular velocities over plural time frames. The updating of the quanternion vector preserves the norm of the vector, whereby the updated set of vehicle attitude angles are virtually error-free.",Closed-form integrator for the quaternion (euler angle) kinematics equations,2000
"An improved support boom is disclosed for supporting instrumentation on extraterrestrial vehicles. The support boom includes first and second support legs which are each pivotably mountable at corresponding first ends to a support structure and which are interconnected at second ends to define a support boom structure. In one embodiment, flexure members are interposed in each of the support legs so as to pivot the support boom structure from a stowed position to a deployed, cantilevered position. The flexure members may be elongated with an arcuate cross-sectional configuration when straight (e.g., of carpenter's tape construction). Preferably, three support legs are included to define a tripod support arrangement, wherein each of the support legs includes at least one flexure member. In this regard, one of the support legs may be advantageously disposed for pivotal movement coincident with that of the longitudinal center axis of the support boom, wherein such support leg may include two oppositely oriented flexure members.",Flexurally hinged tripod support boom,2000
"An improved truss is disclosed that is deployable from a folded, or stowed position to an extended, or deployed position. The truss design facilitates compact storage and is particularly apt for space craft applications. In one aspect of the invention, a truss assembly is provided that includes at least three interconnected truss member sets, each of the truss member sets including first and second truss members that are pivotably interconnected, wherein the truss member sets combinatively define a polygonal structure in the deployed position. The first and second truss members of at least one of the truss member sets are pivotably interconnected to fold inwardly when in the folded position, and the first and second truss members of a second of the truss member sets are pivotably interconnected to fold outwardly when in the folded position. Inboard and outboard supports may be provided at each end of the truss assembly for supportable mounting within a bay of a spacecraft, and for supportably receiving instrumentation and/or additional truss assemblies thereupon, respectively.",Folding truss,2000
"The orbit/covariance estimation and analysis (OCEAN) technique utilizes ground station observations collected from satellites passing overhead and estimates the positions, velocities, and other parameters of multiple satellites. It also estimates parameters for other elements, such as the locations of ground stations and measurement biases. The technique utilizes recorded observations (e.g., range, Doppler) and measurements from various sources as inputs to a weighted least squares batch estimation algorithm used in iterative fashion to estimate each parameter, with or without a priori knowledge of the errors involved with each observed parameter. The process is completed once the residual, the difference between the estimated parameter and the observed parameter, satisfies the tolerance defined by the user. Using the results of the estimation process or a predefined initial condition file, the OCEAN program can also generate a predicted trajectory (i.e., ephemeris) for the satellite(s) from a specified initial time to a final time. The resulting epheremerides can be output in a predefined file format chosen by the user.",Orbit/covariance estimation and analysis (OCEAN) determination for satellites,2000
"A synchronized target subsystem for use in an automated docking or station keeping system for docking a chase vehicle with a target vehicle wherein the chase vehicle is provided with a video camera which provides adjacent frames each having a predetermined time duration. A light source mounted on the target vehicle flashes at a frequency which has a time duration which is a multiple of the duration time of the frames, the light being on for at least one frame duration and being off for the remainder of the cycle. An image processing unit is connected to the camera for receiving signals from the camera and subtracting one of the adjacent frames from the other to detect whether the light appears in one frame, both frames or neither frame. If the target light appears in both frames or neither frame, the image processing unit feeds a signal to a timing circuit to advance the video camera one frame. This process is continued until the target light appears in one frame and not in the other, at which time the process of advancing the video camera is stopped.",Synchronized target subsystem for automated docking systems,2000
"A tunable, mechanical and acoustical damping system is integrated into a lightweight composite aerospace vehicle structure. In one embodiment, the damping system (22) is incorporated into the wall of a spacecraft payload fairing (12) and includes an outer skin (24), a grid structure (26), an inner skin (28) and a tuning conduit (30). The grid structure (26) forms a number of cells (36) some of which may be interconnected. The cell volumes and the tuning conduit (30) are effective as a Helmholz resonator to reduce potentially damaging noise in the payload compartment (20) of the fairing (12). By appropriate selection of the conduit's dimensions in conjunction with the cell dimensions, the resulting resonator can be tuned to damp a selected frequency or frequencies. For example, a resonant frequency of the fairing (12) with its payload (18). A viscoelastic material (34) is provided between the grid structure (26) and inner skin (28) for mechanical damping. The system (22) can be implemented in lightweight composite materials and allows for SNAPSAT construction.",Composite fairing with integral damping and internal helmholz resonators,2000
"A control system stabilizes the flexible body bending modes of a space, airborne, or ground-based system, while providing angular position control of an oscillating mass connected to a counter-oscillating counterbalance. The actuating mechanism uses two drive motors to exert torques on the mass and counterbalance, respectively, under the control of a feedback controller. The controller has a first control channel generating a first torque command signal for the first drive based on the angular position of the mass, and a second control channel generating a second torque command signal for the second drive based on the angular position of the counterbalance and a torque cross-feed signal from the first control channel. The second control channel includes a notch filter for removing input frequencies in a predetermined bandwidth about the frequency of the first torque command signal. The same controller can be used to control the system in oscillation and for large angle repositioning of the mass and counterbalance. The present invention provides a control system for a highly precise and efficient mechanical scanning device suitable for use in a space-based LIDAR system or other similar systems.",Control system for counter-oscillating masses,2000
A magnetically suspended door is described for the protection of spacecraft instrumentation exposed to space. The door is slid between an opened or closed position using electromagnets.,"Electromagnetic, sliding space environment protection satellite door",2000
"A spacecraft according to the invention includes a pair of propellant tanks, with the nominal center of mass of the spacecraft located therebetween. Propellant is coupled from the tanks to a velocity-change-inducing thruster by a controllable coupling arrangement. Unwanted torques may occur which tend to perturb the attitude. An attitude control arrangement generates an error signal in response to deviations of the attitude from the desired attitude. The error signal is processed to control the propellant coupling arrangement, to cause propellant to be used preferentially from at least one of the tanks in a manner which tends to move the actual center of mass relative to the axis of thrust or line of action of the thruster. In one embodiment of the invention, the controllable coupling arrangement includes a manifold for coupling propellant from the tanks to the thruster, a tank of pressurizing gas, and a controllable manifold coupling the tank of pressurizing gas to the propellant tanks. The attitude error signal is processed to control the pressurant gas pressure in the propellant tanks, to thereby tend to feed preferentially from one tank to the thruster, to thereby move the center of mass toward (or sometimes away from) the axis of thrust of the thruster.",Attitude control by modulating the rate of propellant depletion,2000
"An electric vehicle is controlled to conform its operation to that of a conventional internal-combustion-engine powered vehicle. In some embodiments, the charging of the batteries by the auxiliary source of electricity and from dynamic braking is ramped in magnitude when the batteries lie in a state of charge between partial charge and full charge, with the magnitude of the charging being related to the relative state of charge of the battery. The deficiency between traction motor demand and the energy available from the auxiliary electrical source is provided from the batteries in an amount which depends upon the state of the batteries, so that the full amount of the deficiency is provided when the batteries are near full charge, and little or no energy is provided by the batteries when they are near a discharged condition. At charge states of the batteries between near-full-charge and near-full-discharge, the batteries supply an amount of energy which depends monotonically upon the charge state. Charging of the batteries from the auxiliary source is reduced during dynamic braking when the batteries are near full charge. Control of the amount of energy returned during dynamic braking may be performed by control of the transducing efficiency of the traction motor operated as a generator.",Electric vehicle with battery regeneration dependent on battery charge state,2000
"An improved fuel tank for a lifting body re-entry vehicle having a particular external shape comprising four elongated lobes each having an external surface, each of the external surfaces having selected cylindrical and conical shapes, the lobes being selectively mateable to form a combined external configuration having a multiplicity of cylindrical and conical shapes conformable to at least a portion of the external shape of the vehicle. The cylindrical and conical shapes have variable radii at selected cross-sections thereof, such radii being selected for forming the external configuration. In a particular embodiment, the fuel tank has an initial portion, a midsection portion and a final portion and the cross-sectional shape of the initial portion of the fuel tank is that of two overlapping circles whose centers are positioned above one another, each of the circles being formed by two of the four lobes. In the midportion of the fuel tank, the cross-sectional shape is that of four overlapping circles whose centers are positioned to form a four-lobed closed arcuate figure. In the final portion of the fuel tank, the cross-sectional shape of the fuel tank is that of two overlapping circles whose centers are positioned aside one another, each of the circles being formed by two of the four lobes. When two such fuel tanks are placed side-by-side, the combined external surfaces closely approximate a large portion of the shape of the re-entry vehicle.",Fuel tank for lifting body re-entry vehicle,2000
"An apparatus for latching an object, such as a payload for a space vehicle, includes an expandible latch which is shifted between a relaxed open condition and a flexed closed condition by actuation of a pair of temperature-responsive members, such as shaped memory alloy (SMA) coil springs. One of the two temperature-responsive members biases an actuator into a first position that allows the expandible latch to open. The other SMA member biases the actuator in the opposite position to close the expandible latch. Heating the appropriate SMA member causes the actuator to move from one position to the other position. In the preferred embodiment, no power is required to maintain the actuator in either position once the position has been established. For example, the actuator may have a rest position that allows the expandible latch to remain open when the two SMA members are cooled and allowed to reach an equilibrium condition with respect to applied force to the actuator. A detent-and-ball arrangement may be used to maintain the position of the actuator after the expandible latch has been closed.",Apparatus for retaining and releasing a payload,2000
"The device includes an inverted first cup shaped member having a center portion with an aperture therethrough and further having a side wall. A second cup shaped member includes a center portion with and aperture therethrough and a side wall in slidable engagement with the inner wall of the side wall of the first cup forming a compartment therebetween. An is mounted within the compartment which is made of a shape memory alloy having first and second sides at least partially engaged with the center portions of the first and second cups, respectively; and also having an aperture therethrough aligned with the apertures in the center portions of the first and second cups. At least one heating element is mounted about the insert and a flexible compound encapsulates the at least one heating element. The insert can be made from the memory alloy where a deformation undergone in the martensitic state is definitively cancelled out during the passage to the austenitic state. The insert can also be made of a trained two-way memory alloy where a deformation undergone in the martensitic state is cancelled out during the passage into the austenitic state, but is reassumed during a subsequent passage to the martensitic state. The insert can also be made from a trained two-way memory alloy where additional deformation undergone using a bias force during the austenitic to martensitic state is cancelled out during the passage into the austenitic state, but is reassumed during a subsequent passage to the martensitic state minus the additional induced deformation.",Shape memory metal alloy preload attenuation device,2000
"A method for densifying the LO2 propellant of a vehicle (10) includes providing a heat exchanger (16) including a chamber (22), and an isolated heater (24) and cooler (26) located within the chamber (22). The method further includes the step of pumping propellant (LO2) (with pump 14) from the vehicle (10) to the first port (24i) of the path of the heater (24), to thereby create a flow of propellant (LO2) through the heater (24) path, and from the second port (24o) of the path of the heater (24). In conjunction with the pumping, propellant (LO2) is coupled from the second port (24o) of the heater (24) back to the vehicle (10), to thereby establish a recirculating flow of propellant (LO2). The chamber (22) of the heat exchanger (16) is filled with at least sufficient cryogenic liquid (LN2) to cover at least a portion of the path of the cooler (26), and preferably the entirety of the path of the cooler (26). A cryogenic fluid (LH2) is boiled, to thereby cool the cryogenic fluid, and the resulting cooled cryogenic fluid is flowed through the path of the cooler (26). As a result, or whereby, the flow of the cooled cryogenic fluid through the cooler (26) cools the cryogenic liquid, and the cryogenic liquid cools the heater (24) by convection (60). When the cryogenic liquid cools the heater (24), the cryogenic propellant (LO2) flowing through the heater (24) gives up heat to the cryogenic liquid and becomes cooler (26), thereby densifying the cryogenic propellant (LO2).",Propellant densification apparatus and method,2000
A whole-spacecraft passive isolation system consisting of a plurality of titanium flexures that act as soft springs to isolate a satellite from its launch vehicle is improved by the addition of piezoceramic wafers attached to the flexures. A low-pass filter feedforward controller is used to cancel out disturbances by applying out-of-phase signals to the piezoceramic wafers thereby creating a hybrid isolation system that significantly reduces the dynamic loads on the spacecraft.,Whole-spacecraft hybrid isolation system for launch vehicles,2000
"The invention is a system for retaining a detachable capsule to a spacecraft, with the capsule having a heat shield with a peripheral edge. In detail; the system includes a plurality of detachable retention systems with each retention system including a first strut having first and second ends, with the first end rotatably attached to the spacecraft and said second end terminating in a clamp adapted to mate with a portion of the peripheral edge of the heat shield. A spring biases the first strut away from the capsule's heat shield peripheral edge. A second strut is pivotally attached by its first end to the spacecraft and the second end is attached by an explosively actuated fastener assembly mounted on the first strut at a point between the first and second ends thereof.",Retention system for a detachable spacecraft capsule mounted on a spacecraft,2000
"The invention is a deployable hinge assembly. In detail the hinge assembly includes first and second hinge members, and a pivot system for pivotally connecting the first and second hinge members together such that the second hinge member is rotatable from an over lapping position with the first hinge member to an inline position therewith. An over center latch mechanism is coupled to the first and second hinge members for moving the second hinge member from the over lapping position to the inline position and locking the second hinge member in the inline position upon activation. A spring is used for activating the over center latch mechanism. Finally, an attenuation device is incorporated for absorbing forces generated by the spring the second hinge member approaches the said position.",Deployable hinge assembly providing end of travel damping,2000
A method and system for orienting diamagnetic liquids in a container in a low gravity environment includes at least one magnet. The magnet or magnets are placed at the end of the container opposite a desired location for the diamagnetic liquid. The magnetic field generated by the magnet creates a diamagnetic force that repels the diamagnetic liquid away from the magnet and toward the desired location.,Method and system for orienting diamagnetic liquid with respect to a gas in a low gravity environment,2000
"This invention has the ability to provide the initial acceleration necessary for spacecraft to attain earth orbit without use of traditional rocket propellants. The invention also has the ability to provide an alternative means of ground transportation without the direct use of fossil fuel. The invention utilizes a pressurized, nonmagnetic tube to accelerate and translate a piston. The piston is magnetically coupled to a conveyance, which travels along the outside of the tube. The conveyance, in turn, can be either a spacecraft or a vehicle suitable for ground transportation.",Pressure-driven magnetically-coupled conveyance,2001
"A satellite navigation system and method for improving overall navigation accuracy when used in conjunction with the existing Global Positioning System. At least twelve satellites reside in a plurality of medium earth orbits, each orbit having a period of at least three sidereal hours and less than one sidereal day, and an inclination angle between 35 and 75 degrees or between 105 and 145 degrees. The satellites are positioned within their orbits such that the vertical navigation accuracy provided by the system is at least 7.6 meters with at least 99.9% availability.",Medium earth orbit augmentation of a global positioning system for global navigation,2001
A geosynchronous satellite control and telemetry communication system has branch modules distributed throughout the satellite which serially interface clusters of control and/or analog nodes to the central command and data handling processor. Each branch module is connected to the central command and data handling processor by serial data channels. The branch modules are physically located close to the control/telemetry nodes for which they serve as interfaces to the central command and data handling processor and where appropriate are integrated into the satellite subsystems themselves.,Control and telemetry signal communication system for geostationary satellites,2001
"The space-based solar power generating system is comprised of a flexible thin film photovoltaic sheet supported as a sail in the solar wind. The solar wind provides pointing support, deployment support, and structure stiffness without a heavy backup structure. A high Isp electric propulsion system is used to counteract the force exerted on the sail by the solar wind.",Solar sail for power generation,2001
"The invention is an apparatus for releasably connecting a first structure to a second structure. In detail, the invention includes the first structure having a first cavity extending inward from a surface thereof. An inward facing circumferencial lip is mounted in the first cavity in proximity to the first surface forming a restricted opening having a first diameter. The second structure includes a second cavity extending inward from a surface of the second structure. A hollow tubular member having first and second ends is movably mounted within the second cavity, with the tubular member movable from a retracted position to an extended position. The first end of the tubular member is in the form of a collet movable between a retracted position and an expanded position in contact with the lip in the first cavity when the tubular member is in the extended position. An actuation system is provided for moving the tubular member between the retracted and extended positions wherein the collet extend past the lip of in the first cavity. A second actuation system is provided for locking the collet in the expanded position when the tubular member is in the extended position.",Apparatus for releasably connecting first and second structures together,2001
"A mission configurable modular satellite bus structure composed of several scalable modules, including a propulsion module and one or more stackable space modules, each using standard subsystems or components with common structures and/or interfaces, that can be processed in parallel to minimize nonrecurring and recurring costs. Each stackable space module includes a generally cylindrical central hub having a plurality of radial rib panels extending outwardly therefrom to form a plurality of bays for containing subsystem equipment. The hub includes a hollow center sized to receive the propulsion module as a fully assembled unit. The radial rib panels carry the primary structural load of the spacecraft. Also provided are removable side access panels that form enclosures for the bays. The side access panels include equipment mounts along an inside surface for mounting the subsystem components and radiators along an outside surface to provide thermal cooling for the mounted subsystem equipment. The modular bus structure of the present invention is lightweight, stiff, strong, dimensionally stable and is therefore most suitable for highly agile, remote sensing commercial, civil space and government missions. The high degree of access to the spacecraft interior afforded by the present invention allows the various subsystems to be installed as separate, line tested assemblies.",Modular spacecraft bus,2001
"A system and method for assembling a fuel tank is disclosed. A measuring device is mounted on a carriage on which at least one machine tool (e.g., saw, router) is also mounted. This carriage is operatively interconnected with a computer and may be longitudinally moved between a headstock and tailstock which are longitudinally displaced and on which various subassemblies of the fuel tank may be mounted during the assembly of a given fuel tank. Length measurements are preferably made of each fuel tank subassembly prior to any machining operation being executed thereon, as well as after each such machining operation, by monitoring/knowing the longitudinal position of the carriage via the measuring device. These length measurements may be automatically recorded on an appropriate computer-readable storage medium in relation to the subject fuel tank subassembly and the subject fuel tank. This information may be used to evaluate supplier compliance with engineering specifications and/or performance of the system in assembling fuel tanks.",Automated fuel tank assembly system & method,2001
"There is provided a baffle for suppressing slosh in a tank adapted for containing fluids, and a tank for incorporating same. The baffle includes an attachment portion adapted to connect the baffle to an inner sidewall of the tank, and a baffle body extending from the attachment portion and adapted to protrude into the tank. A smoothly curved corrugation is provided for operably connecting the attachment portion and the baffle body. The baffle body can also include a plurality of ribs extending from a proximal edge of each baffle to a distal edge. A plurality of baffles are operably attached at different peripheral locations on an inner sidewall of the tank of the present invention in order to reduce slosh.",Baffle for suppressing slosh in a tank and a tank for incorporating same,2001
"Deployed equipment modules for satellite architecture improvement (DEMSAI) provide ample thermal radiator for area-limited small satellites that typically deploy large-area solar panels from a relatively small mainbody. Rectangular-box-shaped equipment modules are deployed from a compact stowed assembly to offer each of their six side panel exteriors as potential radiator area. Equipment packages are mounted to the interior of these panels. The resultant increase in radiator area translates to an increase in the power-handling capacity of small, fixed-body satellites without resort to deployed radiators.",Deployed equipment modules for satellite architecture improvement,2001
